"Step","Group: pythia-1b - eval_n@0.05","Group: pythia-1b - eval_n@0.05__MIN","Group: pythia-1b - eval_n@0.05__MAX","Group: pythia-410m - eval_n@0.05","Group: pythia-410m - eval_n@0.05__MIN","Group: pythia-410m - eval_n@0.05__MAX","Group: pythia-160m - eval_n@0.05","Group: pythia-160m - eval_n@0.05__MIN","Group: pythia-160m - eval_n@0.05__MAX","Group: sfirah-d15 - eval_n@0.05","Group: sfirah-d15 - eval_n@0.05__MIN","Group: sfirah-d15 - eval_n@0.05__MAX","Group: pythia-1.4b - eval_n@0.05","Group: pythia-1.4b - eval_n@0.05__MIN","Group: pythia-1.4b - eval_n@0.05__MAX","Group: sfirah-d9 - eval_n@0.05","Group: sfirah-d9 - eval_n@0.05__MIN","Group: sfirah-d9 - eval_n@0.05__MAX","Group: sfirah-d24 - eval_n@0.05","Group: sfirah-d24 - eval_n@0.05__MIN","Group: sfirah-d24 - eval_n@0.05__MAX","Group: sfirah-d21 - eval_n@0.05","Group: sfirah-d21 - eval_n@0.05__MIN","Group: sfirah-d21 - eval_n@0.05__MAX","Group: pythia-70m - eval_n@0.05","Group: pythia-70m - eval_n@0.05__MIN","Group: pythia-70m - eval_n@0.05__MAX","Group: sfirah-w1024 - eval_n@0.05","Group: sfirah-w1024 - eval_n@0.05__MIN","Group: sfirah-w1024 - eval_n@0.05__MAX","Group: sfirah-w512 - eval_n@0.05","Group: sfirah-w512 - eval_n@0.05__MIN","Group: sfirah-w512 - eval_n@0.05__MAX","Group: sfirah-w256 - eval_n@0.05","Group: sfirah-w256 - eval_n@0.05__MIN","Group: sfirah-w256 - eval_n@0.05__MAX","Group: sfirah-w128 - eval_n@0.05","Group: sfirah-w128 - eval_n@0.05__MIN","Group: sfirah-w128 - eval_n@0.05__MAX","Group: sfirah-d18 - eval_n@0.05","Group: sfirah-d18 - eval_n@0.05__MIN","Group: sfirah-d18 - eval_n@0.05__MAX","Group: sfirah-d12 - eval_n@0.05","Group: sfirah-d12 - eval_n@0.05__MIN","Group: sfirah-d12 - eval_n@0.05__MAX","Group: sfirah-d6 - eval_n@0.05","Group: sfirah-d6 - eval_n@0.05__MIN","Group: sfirah-d6 - eval_n@0.05__MAX","Group: pythia-31m - eval_n@0.05","Group: pythia-31m - eval_n@0.05__MIN","Group: pythia-31m - eval_n@0.05__MAX","Group: pythia-14m - eval_n@0.05","Group: pythia-14m - eval_n@0.05__MIN","Group: pythia-14m - eval_n@0.05__MAX"
"6015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6029","","","","","","","","","","2","2","2","","","","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6057","","","","","","","3","3","3","","","","","","","","","","2","2","2","","","","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"7015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7029","","","","","","","","","","2","2","2","","","","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7057","","","","","","","3.2","3","4","","","","","","","","","","2","2","2","","","","2","2","2","2.2","2","3","2","2","2","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"8015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8029","","","","","","","","","","2.6666666666666665","2","3","","","","2.3333333333333335","2","3","2","2","2","2.6666666666666665","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8057","","","","","","","3.2","3","4","","","","","","","","","","2","2","2","","","","2.4","2","3","2.6","2","3","2","2","2","2","2","2","1","1","1","2","2","2","2","2","2","2","2","2","2.4","2","3","2","2","2"
"9015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9029","","","","","","","","","","3.6666666666666665","3","4","","","","3.3333333333333335","3","4","2.5","2","3","3.6666666666666665","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9057","","","","","","","4","4","4","","","","","","","","","","2.2","2","3","","","","2.4","2","3","3.2","3","4","2","2","2","2","2","2","1","1","1","2","2","2","2","2","2","2","2","2","2.4","2","3","2","2","2"
"10015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10029","","","","","","","","","","4","4","4","","","","4","4","4","3","2","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10057","","","","","","","4","4","4","","","","","","","","","","2.4","2","3","","","","3","3","3","3.6","3","4","2","2","2","2","2","2","1","1","1","2","2","2","2.4","2","3","2","2","2","2.4","2","3","2.2","2","3"
"11015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11029","","","","","","","","","","4","4","4","","","","4","4","4","3.25","2","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11057","","","","","","","4","4","4","","","","","","","","","","2.8","2","4","","","","3","3","3","3.8","3","4","2","2","2","2","2","2","1","1","1","2.2","2","3","2.6","2","3","2","2","2","2.4","2","3","2.4","2","3"
"12015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12029","","","","","","","","","","4","4","4","","","","4","4","4","3.75","3","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12057","","","","","","","4","4","4","","","","","","","","","","3","2","4","","","","3","3","3","4","4","4","2.2","2","3","2","2","2","1","1","1","2.6","2","3","3.2","2","4","2.6","2","3","2.6","2","3","2.4","2","3"
"13015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13057","","","","","","","4","4","4","","","","","","","","","","3.4","2","4","","","","3","3","3","4","4","4","2.4","2","3","2","2","2","1","1","1","3.2","2","4","3.8","3","4","3","3","3","2.8","2","3","3","3","3"
"14015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14057","","","","","","","4","4","4","","","","","","","","","","3.6","2","4","","","","3.4","3","4","4","4","4","2.6","2","3","2","2","2","1","1","1","3.6","3","4","3.8","3","4","3.2","3","4","2.8","2","3","3","3","3"
"15015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15057","","","","","","","4","4","4","","","","","","","","","","3.8","3","4","","","","3.6","3","4","4","4","4","2.8","2","4","2","2","2","1","1","1","4","4","4","4","4","4","3.8","3","4","3","2","4","3","3","3"
"16015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","3.2","3","4","2","2","2","1","1","1","4","4","4","4","4","4","3.8","3","4","3.2","2","4","3.2","3","4"
"17015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","3.4","3","4","2","2","2","1","1","1","4","4","4","4","4","4","4","4","4","3.6","3","4","3.4","3","4"
"18015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","3.4","3","4","2","2","2","1","1","1","4","4","4","4","4","4","4","4","4","3.6","3","4","3.6","3","4"
"19015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","3.6","3","4","2","2","2","1","1","1","4","4","4","4","4","4","4","4","4","3.6","3","4","3.6","3","4"
"20015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","2","2","2","1","1","1","4","4","4","4","4","4","4","4","4","3.6","3","4","4","4","4"
"21015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","2.2","2","3","1.4","1","2","4","4","4","4","4","4","4","4","4","3.8","3","4","4","4","4"
"22015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","2.2","2","3","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"23015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","2.6","2","3","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"24015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","2.8","2","4","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"25015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","3.2","2","4","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"26015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","3.2","2","4","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"27015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","3.2","2","4","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"28015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","3.4","2","4","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"29015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","3.6","3","4","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"30015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","3.6","3","4","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"31015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"32015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"33015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"34015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"35015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2.2","2","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"36015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2.2","2","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"37015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2.2","2","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"38015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2.2","2","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"39015","4","4","4","4","4","4","4","4","4","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2.4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"40029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2.4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"40078","6","6","6","7","6","8","4.666666666666667","4","5","","","","6","5","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2.4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"41078","7","7","7","8","8","8","5.333333333333333","5","6","","","","6.666666666666667","6","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2.4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"42078","7","7","7","8","8","8","6","5","7","","","","7.333333333333333","7","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2.4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"43078","8","8","8","8","8","8","6.333333333333333","6","7","","","","7.333333333333333","7","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2.4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"44078","8","8","8","8","8","8","7","6","8","","","","7.666666666666667","7","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2.4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"45078","8","8","8","8","8","8","7.333333333333333","7","8","","","","8","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2.6","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"46078","8","8","8","8","8","8","7.333333333333333","7","8","","","","8","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47029","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47057","","","","","","","4","4","4","","","","","","","","","","4","4","4","","","","4","4","4","4","4","4","4","4","4","4","4","4","2.6","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"47078","8","8","8","8","8","8","7.333333333333333","7","8","","","","8","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
